id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
52611613,* Adorable home w/parking near great restaurants *,232967878,Diana,NINTH WARD,42.65674,-73.79221,Entire home/apt,185,2,106,20-04-2024,3.4,22,66,39
52619545,* Centrally located Eclectic vibe 2 bed w/parking,232967878,Diana,THIRTEENTH WARD,42.67181,-73.79543,Entire home/apt,125,2,72,13-04-2024,2.3,22,75,24
52691284,+ Perfect place to make memories with loved ones +,232967878,Diana,TENTH WARD,42.66236,-73.79245,Entire home/apt,600,2,65,21-04-2024,2.09,22,79,22
52836323,*Hidden gem w/in walking distance to Madison Ave *,232967878,Diana,THIRTEENTH WARD,42.67131,-73.7921,Entire home/apt,145,1,65,21-04-2024,2.26,22,85,37
52837196,★MODERN 1BR Apt w/ PRIVATE deck! W/D★,47625981,Linda,FOURTH WARD,42.65812,-73.74837,Entire home/apt,115,1,63,07-04-2024,2.04,15,268,21
52863776,Washington Parkside 1 Bedroom In 1800s Brownstone!,355777684,Lloyd,SIXTH WARD,42.65826,-73.76944,Entire home/apt,132,1,158,21-04-2024,5.14,3,329,61
52923647,Cozy 3BR House in Whitehall near DT Albany,428451585,Erwin,EIGHTH WARD,42.64792,-73.79953,Entire home/apt,,3,0,,,1,365,0
53115382,Cozy 1-bdrm apt with off street parking,207800855,Iris,FIFTEENTH WARD,42.67004,-73.82367,Entire home/apt,88,2,27,24-05-2023,0.9,3,3,1
53312101,* 1 bed near Times Union center & Egg w/parking *,232967878,Diana,SECOND WARD,42.64369,-73.7581,Entire home/apt,95,2,48,13-04-2024,1.6,22,86,27
53483727,Spacious Urban APT w/4BR & Office in Albany,433096110,Brian,FOURTEENTH WARD,42.65824,-73.80114,Entire home/apt,181,1,116,04-05-2024,4.07,3,247,45
53567589,Private Garden Apt in Downtown Albany|Pets Allowed,433096110,Brian,SIXTH WARD,42.65204,-73.76655,Entire home/apt,99,1,198,04-05-2024,6.78,3,325,76
53645427,★ BEAUTIFUL  2 BED 2 BATH  w/ SOAKER TUB + W/D★,47625981,Linda,FOURTH WARD,42.65913,-73.74722,Entire home/apt,150,1,84,14-04-2024,2.87,15,338,35
53860077,/ Gorgeous Garden Getaway\ 1943 SUNY Eagle Hill,4259750,Peter,FIFTEENTH WARD,42.674675,-73.822861,Entire home/apt,532,1,21,17-04-2024,0.81,9,332,9
53939991,Walk to Albany Med/New Scotland’s Restaurant Row,30883612,Mary,NINTH WARD,42.65302,-73.7875,Entire home/apt,125,30,1,06-03-2022,0.04,2,324,0
53971505,Charming 1 Bdrm Garden Apt in Historic Brownstone,60293220,David,FOURTH WARD,42.65873,-73.7494,Entire home/apt,,13,3,31-12-2022,0.11,3,365,0
54097694,B Unieke,438504176,Roland,SECOND WARD,42.64683,-73.75662,Entire home/apt,,1,0,,,1,365,0
54105517,Tuscan Studio Apartment at Café Capriccio,418024477,Marlene,SECOND WARD,42.6464,-73.75684,Entire home/apt,125,1,40,20-08-2023,1.47,2,267,7
54126420,Beautiful 1 bedroom in a quiet residential area.,37769478,Erion,TENTH WARD,42.66261,-73.79026,Entire home/apt,70,1,74,12-04-2024,3.19,9,352,22
54126421,Beautiful Apartment in the heart of Albany,37769478,Erion,SIXTH WARD,42.65422,-73.76996,Entire home/apt,100,1,60,02-04-2024,2.33,9,253,27
54126427,Beautiful 1 bedroom In the heart of Albany,37769478,Erion,SIXTH WARD,42.65403,-73.77056,Entire home/apt,100,1,102,08-04-2024,3.6,9,214,5
54128829,Modern & Cozy Cntr Square Townhouse Gem from 1854,265709295,Richard & Priscela,SIXTH WARD,42.65594,-73.76591,Entire home/apt,189,1,197,27-04-2024,7.32,2,314,75
54150131,Charming 170-Year-Old Home in the Heart of Albany,432936385,Jared,SIXTH WARD,42.65110902,-73.76590241,Entire home/apt,145,1,134,05-05-2024,5.16,1,275,73
54232383,Lovely 2 bedroom unit with indoor fireplace.,272907816,Angela,SECOND WARD,42.64459,-73.75392,Entire home/apt,125,2,5,06-11-2022,0.25,4,3,0
54369238,"Cozy townhouse, close to hospital, free parking!",152762198,Allen,NINTH WARD,42.65578,-73.78641,Entire home/apt,99,3,31,25-12-2023,1.58,9,94,23
54369240,Lovely 1 bedroom rental close to Alb Med!,152762198,Allen,TENTH WARD,42.65905,-73.77964,Entire home/apt,84,3,41,09-04-2024,1.73,9,353,25
5.52126E+17,Washington Park Brownstone-Large Luxury Bedroom 2,49100926,Clyde,SIXTH WARD,42.65902,-73.7701,Private room,110,2,4,20-01-2023,0.15,4,309,0
5.53841E+17,Washington Park Brownstone-Large Private Lux Rm 3,49100926,Clyde,SIXTH WARD,42.6595,-73.76938,Private room,100,2,4,02-07-2023,0.15,4,309,2
5.54082E+17,Washington Park Brownstone- Large Luxury Bedroom 4,49100926,Clyde,SIXTH WARD,42.6598,-73.76995,Private room,100,2,6,02-10-2022,0.22,4,310,0
5.5925E+17,Cozy 1 bedroom with office and luxurious King size,433884293,Uniah,NINTH WARD,42.66062,-73.79112,Entire home/apt,,6,2,26-06-2023,0.11,1,363,1
5.63712E+17,/Purple Potty Penthouse\ 1928 Pine Hill 4Bed 1Bath,4259750,Peter,THIRTEENTH WARD,42.66919,-73.78672,Entire home/apt,266,2,6,24-12-2022,0.22,9,365,0
5.65172E+17,Lovely 1 bed apartment close to MVP Arena,232967878,Diana,SECOND WARD,42.64342,-73.75742,Entire home/apt,120,1,74,16-04-2024,2.75,22,82,28
5.81058E+17,◆UNIQUE◆ spacious LOFT with photo studio w/d!,47625981,Linda,THIRD WARD,42.65848,-73.76359,Entire home/apt,115,1,39,18-02-2024,1.5,15,208,11
5.88298E+17,Modern one bedroom with free off street parking,353498132,Michael,SECOND WARD,42.64441,-73.75647,Entire home/apt,98,13,10,10-01-2024,0.44,5,265,3
5.93272E+17,Lux Suite at the Historic Jesse Buel House.,382970529,Thomas,THIRTEENTH WARD,42.66911,-73.79869,Private room,131,1,96,05-05-2024,4.29,11,58,57
5.94827E+17,Oversized studio with free parking & Netflix,232967878,Diana,SECOND WARD,42.64252,-73.75688,Entire home/apt,119,1,78,16-04-2024,3.05,22,84,37
